,Compound,m/z,Group ID
97,b2,201.123368,541.263275
92,y7,881.403182,541.263275
96,y3,374.24304,541.263275
93,y6,766.376239,541.263275
95,y4,488.285967,541.263275
94,y5,651.349296,541.263275
37,y7,778.324597,549.24254
38,y6,663.297654,549.24254
40,y3,348.191004,549.24254
36,y8,941.387926,549.24254
39,y4,477.233597,549.24254
41,y2,211.132092,549.24254
18,b2,203.084874,548.263906
15,y8,893.442938,548.263906
16,y7,780.358874,548.263906
17,y5,622.289732,548.263906
19,b7,712.344671,548.263906
20,b9,972.427749,548.263906
34,b2,186.087317,489.796754
32,y3,353.242705,489.796754
33,y2,252.195027,489.796754
29,y7,793.50619,489.796754
30,y6,694.437776,489.796754
31,y4,452.311119,489.796754
61,b7,698.383165,475.762911
60,b6,627.346051,475.762911
58,b4,456.28166,475.762911
62,b8,827.425758,475.762911
57,b3,357.213246,475.762911
59,b5,513.303124,475.762911
103,y2,252.195027,525.807318
104,b2,201.123368,525.807318
99,y7,850.491268,525.807318
102,y3,381.23762,525.807318
100,y6,722.432691,525.807318
101,y4,494.321684,525.807318
123,y7,416.239406,522.315645
120,y7,831.471536,522.315645
121,y6,694.412624,522.315645
125,b5,311.176998,522.315645
122,y8,472.781438,522.315645
124,b2,213.159754,522.315645
47,b6,653.325316,509.284011
44,b2,237.134602,509.284011
46,b5,540.241252,509.284011
48,b7,766.40938,509.284011
45,b3,352.161545,509.284011
43,y2,252.158641,509.284011
85,y2,223.168478,548.299858
86,b2,201.123368,548.299858
90,b7,689.31006,548.299858
89,b6,602.278031,548.299858
87,b3,272.160482,548.299858
88,b4,387.187425,548.299858
74,b6,670.38825,534.807653
75,b7,817.456664,534.807653
76,b8,945.515242,534.807653
73,b5,541.345657,534.807653
72,b3,383.276515,534.807653
71,y2,252.158641,534.807653
80,b5,571.319837,503.818021
82,b7,755.441014,503.818021
81,b6,684.403901,503.818021
78,y2,252.195027,503.818021
79,b4,442.277243,503.818021
83,b8,442.271627,503.818021
111,b2,201.123368,570.802036
110,y2,252.195027,570.802036
106,y7,940.480704,570.802036
107,y6,777.417375,570.802036
109,y4,527.322018,570.802036
108,y5,690.385347,570.802036
64,y2,211.132092,497.794211
68,b6,671.372266,497.794211
67,b5,558.288202,497.794211
69,b7,784.45633,497.794211
66,b3,356.229231,497.794211
65,b2,257.160817,497.794211
